clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized,PCA_Component_1,PCA_Component_2,Cluster_PCA
58.png,2,12806,496,0.9370078,25.81854787,255,1,-1.106950018,-0.666859141,1
58.png,4,12850,496,0.9370078,25.90725754,255,1,-1.104292572,-0.66713402,1
58.png,5,12869,498,0.944881815,25.84136494,255,1,-1.105240727,-0.663320152,1
58.png,6,12832,498,0.944881815,25.76706776,255,1,-1.107467709,-0.663089996,1
58.png,8,12853,498,0.944881815,25.80923643,255,1,-1.106203746,-0.663220625,1
6.png,6,11476,500,1.19469016,22.95199954,255,1,-1.203919717,-0.554629845,1
60.png,2,12863,498,0.944881815,25.82931675,255,1,-1.105601859,-0.663282829,1
66.png,1,12909,500,0.937499927,25.81799948,255,1,-1.104092876,-0.665700026,1
67.png,1,12875,498,0.944881815,25.85341314,255,1,-1.104879595,-0.663357474,1
67.png,2,12898,500,0.937499927,25.79599948,255,1,-1.104752684,-0.665631894,1
68.png,1,12867,498,0.944881815,25.83734888,255,1,-1.105361105,-0.663307711,1
68.png,2,12869,498,0.944881815,25.84136494,255,1,-1.105240727,-0.663320152,1
69.png,1,12837,498,0.944881815,25.77710792,255,1,-1.107166766,-0.663121098,1
69.png,2,12840,498,0.944881815,25.78313201,255,1,-1.106986199,-0.663139759,1
70.png,2,12860,496,0.9370078,25.92741883,255,1,-1.103688607,-0.667196493,1
70.png,3,12964,500,0.937499927,25.92799948,255,1,-1.100793835,-0.666040687,1
70.png,6,12802,496,0.952380877,25.81048335,255,1,-1.108020768,-0.660725667,1
70.png,7,12872,498,0.944881815,25.84738904,255,1,-1.105060161,-0.663338813,1
70.png,8,12865,498,0.944881815,25.83333281,255,1,-1.105481482,-0.66329527,1
74.png,5,12859,496,0.9370078,25.9254027,255,1,-1.103749003,-0.667190246,1
75.png,5,12852,496,0.9370078,25.9112898,255,1,-1.104171779,-0.667146515,1
75.png,6,12798,496,0.9370078,25.80241883,255,1,-1.10743319,-0.666809163,1
76.png,1,12828,498,0.944881815,25.75903563,255,1,-1.107708464,-0.663065114,1
77.png,1,12953,500,0.937499927,25.90599948,255,1,-1.101453643,-0.665972555,1
78.png,1,12944,500,0.937499927,25.88799948,255,1,-1.101993486,-0.66591681,1
79.png,1,12923,500,0.937499927,25.84599948,255,1,-1.10325312,-0.66578674,1
80.png,2,12846,496,0.9370078,25.89919303,255,1,-1.104534158,-0.667109031,1
82.png,3,11886,520,1.177966002,22.85769187,255,1,-1.191857775,-0.556199324,1
82.png,4,12824,496,0.9370078,25.85483819,255,1,-1.105862881,-0.666971592,1
83.png,3,11833,516,1.179487079,22.9321701,255,1,-1.192493471,-0.556781822,1
83.png,4,12820,496,0.9370078,25.84677367,255,1,-1.106104467,-0.666946603,1
84.png,1,12858,498,0.944881815,25.81927659,255,1,-1.105902803,-0.663251727,1
84.png,2,12862,498,0.944881815,25.82730872,255,1,-1.105662048,-0.663276609,1
85.png,2,12793,496,0.9370078,25.79233819,255,1,-1.107735173,-0.666777927,1
85.png,4,11833,516,1.179487079,22.9321701,255,1,-1.192493471,-0.556781822,1
86.png,2,12815,496,0.9370078,25.83669303,255,1,-1.106406449,-0.666915366,1
