clave,object_number,area,perimeter,angle_of_inclination,texture,intensity,Cluster_Normalized
34.png,4,491,90,1.149999425,5.455554949,255,1
34.png,5,12977,502,0.945312426,25.85059709,255,1
34.png,6,479,88,0.999999524,5.4431812,255,1
35.png,4,399,80,1.111110494,4.987499377,255,1
35.png,5,12896,496,0.9370078,25.99999948,255,1
35.png,7,460,86,0.952380499,5.348836587,255,1
36.png,1,361,76,0.999999444,4.749999375,255,1
36.png,3,459,86,0.952380499,5.337208682,255,1
37.png,3,458,86,0.952380499,5.325580776,255,1
38.png,5,420,82,0.949999525,5.121950595,255,1
39.png,3,420,82,0.949999525,5.121950595,255,1
4.png,4,11674,510,1.172413692,22.89019563,255,1
40.png,1,12922,500,0.937499927,25.84399948,255,1
40.png,4,420,82,0.949999525,5.121950595,255,1
41.png,4,420,82,0.949999525,5.121950595,255,1
43.png,3,420,82,0.949999525,5.121950595,255,1
44.png,3,420,82,0.949999525,5.121950595,255,1
45.png,3,420,82,0.949999525,5.121950595,255,1
46.png,2,12748,494,0.944444369,25.80566749,255,1
46.png,4,420,82,0.949999525,5.121950595,255,1
47.png,3,12733,494,0.944444369,25.77530312,255,1
47.png,5,420,82,0.949999525,5.121950595,255,1
5.png,4,11685,510,1.172413692,22.91176426,255,1
50.png,2,37972,1384,0.116968697,27.43641599,255,1
50.png,3,10946,458,0.94017086,23.8995628,255,1
50.png,4,10930,456,0.94827578,23.96929772,255,1
50.png,5,10969,458,0.94017086,23.94978114,255,1
56.png,3,12792,496,0.9370078,25.79032206,255,1
56.png,4,12740,494,0.944444369,25.78947316,255,1
57.png,2,12836,498,0.944881815,25.77509988,255,1
57.png,4,12877,498,0.944881815,25.8574292,255,1
57.png,5,12838,498,0.944881815,25.77911595,255,1
58.png,2,12806,496,0.9370078,25.81854787,255,1
58.png,4,12850,496,0.9370078,25.90725754,255,1
58.png,5,12869,498,0.944881815,25.84136494,255,1
58.png,6,12832,498,0.944881815,25.76706776,255,1
58.png,8,12853,498,0.944881815,25.80923643,255,1
6.png,6,11476,500,1.19469016,22.95199954,255,1
60.png,2,12863,498,0.944881815,25.82931675,255,1
66.png,1,12909,500,0.937499927,25.81799948,255,1
67.png,1,12875,498,0.944881815,25.85341314,255,1
67.png,2,12898,500,0.937499927,25.79599948,255,1
68.png,1,12867,498,0.944881815,25.83734888,255,1
68.png,2,12869,498,0.944881815,25.84136494,255,1
69.png,1,12837,498,0.944881815,25.77710792,255,1
69.png,2,12840,498,0.944881815,25.78313201,255,1
70.png,2,12860,496,0.9370078,25.92741883,255,1
70.png,3,12964,500,0.937499927,25.92799948,255,1
70.png,5,420,82,0.949999525,5.121950595,255,1
70.png,6,12802,496,0.952380877,25.81048335,255,1
70.png,7,12872,498,0.944881815,25.84738904,255,1
70.png,8,12865,498,0.944881815,25.83333281,255,1
71.png,4,420,82,0.949999525,5.121950595,255,1
74.png,4,420,82,0.949999525,5.121950595,255,1
74.png,5,12859,496,0.9370078,25.9254027,255,1
75.png,4,420,82,0.949999525,5.121950595,255,1
75.png,5,12852,496,0.9370078,25.9112898,255,1
75.png,6,12798,496,0.9370078,25.80241883,255,1
76.png,1,12828,498,0.944881815,25.75903563,255,1
76.png,3,400,80,0.999999474,4.999999375,255,1
77.png,1,12953,500,0.937499927,25.90599948,255,1
77.png,3,440,84,0.904761474,5.238094615,255,1
78.png,1,12944,500,0.937499927,25.88799948,255,1
78.png,3,440,84,0.904761474,5.238094615,255,1
79.png,1,12923,500,0.937499927,25.84599948,255,1
79.png,3,440,84,0.904761474,5.238094615,255,1
80.png,2,12846,496,0.9370078,25.89919303,255,1
80.png,4,419,82,0.949999525,5.109755474,255,1
82.png,3,11886,520,1.177966002,22.85769187,255,1
82.png,4,12824,496,0.9370078,25.85483819,255,1
83.png,3,11833,516,1.179487079,22.9321701,255,1
83.png,4,12820,496,0.9370078,25.84677367,255,1
84.png,1,12858,498,0.944881815,25.81927659,255,1
84.png,2,12862,498,0.944881815,25.82730872,255,1
85.png,2,12793,496,0.9370078,25.79233819,255,1
85.png,4,11833,516,1.179487079,22.9321701,255,1
86.png,2,12815,496,0.9370078,25.83669303,255,1
87.png,2,12850,498,0.944881815,25.80321233,255,1
88.png,2,440,84,0.904761474,5.238094615,255,1
89.png,3,419,82,0.949999525,5.109755474,255,1
9.png,3,11000,458,0.94017086,24.01746672,255,1
90.png,3,12876,498,0.944881815,25.85542117,255,1
91.png,2,12879,498,0.944881815,25.86144526,255,1
91.png,4,12891,498,0.944881815,25.88554165,255,1
92.png,2,12915,500,0.937499927,25.82999948,255,1
92.png,3,12870,498,0.944881815,25.84337298,255,1
92.png,5,12790,496,0.9370078,25.7862898,255,1
92.png,6,12884,498,0.944881815,25.87148542,255,1
93.png,2,12879,498,0.944881815,25.86144526,255,1
93.png,4,12876,498,0.944881815,25.85542117,255,1
94.png,2,12844,498,0.944881815,25.79116414,255,1
94.png,4,12845,498,0.944881815,25.79317217,255,1
95.png,3,12819,498,0.944881815,25.74096334,255,1
95.png,5,12819,498,0.944881815,25.74096334,255,1
96.png,4,400,80,0.999999474,4.999999375,255,1
97.png,6,398,80,0.999999474,4.974999378,255,1
98.png,4,400,80,0.999999474,4.999999375,255,1
99.png,4,398,80,0.999999474,4.974999378,255,1
10.png,2,38167,1388,7.14117563,27.49783842,255,2
11.png,2,38016,1388,7.14117563,27.38904879,255,2
21.png,2,38314,1388,7.14117563,27.6037462,255,2
